TimeSeries ID,container/gpu/utilizations.cloud_run_revision.ALIGN_SUM.REDUCE_PERCENTILE_50.metric.type="run.googleapis.com/container/gpu/utilizations" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.container_name:ollama-gemma-1.gpu_number:0
container_name,ollama-gemma-1
gpu_number,0
project_id,llm-workload-characterization
Fri May 23 2025 12:50:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 12:51:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 12:52:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),0.055
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),0.8025
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),0.7475
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),0.775
