TimeSeries ID,container/max_request_concurrencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="run.googleapis.com/container/max_request_concurrencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.service_name:ollama-gemma
service_name,ollama-gemma
project_id,llm-workload-characterization
Fri May 23 2025 12:50:00 GMT+0300 (GMT+03:00),1.5
Fri May 23 2025 12:51:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 12:52:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),15
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),33.5
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),33.5
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),38.5
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),31
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),41
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),41
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),43
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),45
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),27
Fri May 23 2025 13:26:00 GMT+0300 (GMT+03:00),19
Fri May 23 2025 13:27:00 GMT+0300 (GMT+03:00),11
Fri May 23 2025 13:28:00 GMT+0300 (GMT+03:00),2.5
Fri May 23 2025 13:29:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 13:30:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 13:31:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 13:32:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 13:33:00 GMT+0300 (GMT+03:00),34.5
Fri May 23 2025 13:34:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:35:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:36:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:37:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:38:00 GMT+0300 (GMT+03:00),31.5
Fri May 23 2025 13:39:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:40:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:41:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:42:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:43:00 GMT+0300 (GMT+03:00),38.5
Fri May 23 2025 13:44:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:45:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:46:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:47:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:48:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:49:00 GMT+0300 (GMT+03:00),36.5
Fri May 23 2025 13:50:00 GMT+0300 (GMT+03:00),33
Fri May 23 2025 13:51:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:52:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:53:00 GMT+0300 (GMT+03:00),38.5
Fri May 23 2025 13:54:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:55:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:56:00 GMT+0300 (GMT+03:00),36.5
Fri May 23 2025 13:57:00 GMT+0300 (GMT+03:00),37
Fri May 23 2025 13:58:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 13:59:00 GMT+0300 (GMT+03:00),41
Fri May 23 2025 14:00:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 14:01:00 GMT+0300 (GMT+03:00),41
Fri May 23 2025 14:02:00 GMT+0300 (GMT+03:00),39
Fri May 23 2025 14:03:00 GMT+0300 (GMT+03:00),35
Fri May 23 2025 14:04:00 GMT+0300 (GMT+03:00),27
Fri May 23 2025 14:05:00 GMT+0300 (GMT+03:00),21
Fri May 23 2025 14:06:00 GMT+0300 (GMT+03:00),13
Fri May 23 2025 14:07:00 GMT+0300 (GMT+03:00),6.5
Fri May 23 2025 14:08:00 GMT+0300 (GMT+03:00),1.5
Fri May 23 2025 14:09:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:10:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:11:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:12:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:13:00 GMT+0300 (GMT+03:00),62.5
Fri May 23 2025 14:14:00 GMT+0300 (GMT+03:00),162.5
Fri May 23 2025 14:15:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:16:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:17:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 14:18:00 GMT+0300 (GMT+03:00),176.25
Fri May 23 2025 14:19:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:20:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:21:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:22:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 14:23:00 GMT+0300 (GMT+03:00),181.25
Fri May 23 2025 14:24:00 GMT+0300 (GMT+03:00),177.5
Fri May 23 2025 14:25:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:26:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:27:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 14:28:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:29:00 GMT+0300 (GMT+03:00),177.5
Fri May 23 2025 14:30:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:31:00 GMT+0300 (GMT+03:00),163.75
Fri May 23 2025 14:32:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:33:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 14:34:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:35:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:36:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:37:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:38:00 GMT+0300 (GMT+03:00),162.5
Fri May 23 2025 14:39:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:40:00 GMT+0300 (GMT+03:00),171.25
Fri May 23 2025 14:41:00 GMT+0300 (GMT+03:00),176.25
Fri May 23 2025 14:42:00 GMT+0300 (GMT+03:00),177.5
Fri May 23 2025 14:43:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 14:44:00 GMT+0300 (GMT+03:00),162.5
Fri May 23 2025 14:45:00 GMT+0300 (GMT+03:00),122.5
Fri May 23 2025 14:46:00 GMT+0300 (GMT+03:00),27
Fri May 23 2025 14:47:00 GMT+0300 (GMT+03:00),17
Fri May 23 2025 14:48:00 GMT+0300 (GMT+03:00),7.5
Fri May 23 2025 14:49:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:50:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:51:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:52:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 14:53:00 GMT+0300 (GMT+03:00),157.5
Fri May 23 2025 14:54:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:55:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:56:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:57:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 14:58:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 14:59:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:00:00 GMT+0300 (GMT+03:00),171.25
Fri May 23 2025 15:01:00 GMT+0300 (GMT+03:00),171.25
Fri May 23 2025 15:02:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 15:03:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 15:04:00 GMT+0300 (GMT+03:00),163.75
Fri May 23 2025 15:05:00 GMT+0300 (GMT+03:00),163.75
Fri May 23 2025 15:06:00 GMT+0300 (GMT+03:00),163.75
Fri May 23 2025 15:07:00 GMT+0300 (GMT+03:00),163.75
Fri May 23 2025 15:08:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:09:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:10:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:11:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:12:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:13:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:14:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:15:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:16:00 GMT+0300 (GMT+03:00),172.5
Fri May 23 2025 15:17:00 GMT+0300 (GMT+03:00),155
Fri May 23 2025 15:18:00 GMT+0300 (GMT+03:00),177.5
Fri May 23 2025 15:19:00 GMT+0300 (GMT+03:00),176.25
Fri May 23 2025 15:20:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 15:21:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:22:00 GMT+0300 (GMT+03:00),168.75
Fri May 23 2025 15:23:00 GMT+0300 (GMT+03:00),171.25
Fri May 23 2025 15:24:00 GMT+0300 (GMT+03:00),167.5
Fri May 23 2025 15:25:00 GMT+0300 (GMT+03:00),41
Fri May 23 2025 15:26:00 GMT+0300 (GMT+03:00),25
Fri May 23 2025 15:27:00 GMT+0300 (GMT+03:00),17.5
Fri May 23 2025 15:28:00 GMT+0300 (GMT+03:00),7.5
Fri May 23 2025 15:29:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 15:30:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 15:31:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 15:32:00 GMT+0300 (GMT+03:00),0.5
Fri May 23 2025 15:33:00 GMT+0300 (GMT+03:00),9.5
Fri May 23 2025 15:34:00 GMT+0300 (GMT+03:00),217.5
Fri May 23 2025 15:35:00 GMT+0300 (GMT+03:00),342.5
Fri May 23 2025 15:36:00 GMT+0300 (GMT+03:00),346.25
Fri May 23 2025 15:37:00 GMT+0300 (GMT+03:00),346.25
Fri May 23 2025 15:38:00 GMT+0300 (GMT+03:00),346.25
Fri May 23 2025 15:39:00 GMT+0300 (GMT+03:00),322.5
Fri May 23 2025 15:40:00 GMT+0300 (GMT+03:00),341.25
Fri May 23 2025 15:41:00 GMT+0300 (GMT+03:00),342.5
Fri May 23 2025 15:42:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:43:00 GMT+0300 (GMT+03:00),342.5
Fri May 23 2025 15:44:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:45:00 GMT+0300 (GMT+03:00),341.25
Fri May 23 2025 15:46:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:47:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:48:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:49:00 GMT+0300 (GMT+03:00),332.5
Fri May 23 2025 15:50:00 GMT+0300 (GMT+03:00),323.75
Fri May 23 2025 15:51:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:52:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:53:00 GMT+0300 (GMT+03:00),337.5
Fri May 23 2025 15:54:00 GMT+0300 (GMT+03:00),337.5
