TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.service_name:ollama-gemma
service_name,ollama-gemma
project_id,llm-workload-characterization
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),39010.30877492613
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),94594.05369524957
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),152344.66941673646
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),224157.5211920143
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),271230.60064233735
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),322506.9273566662
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),319622.43651931675
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),321247.13467167923
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),322281.03349590994
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),321329.19013391976
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),319875.63623137324
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),320930.63503160863
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),320508.63551151444
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),321062.50988163805
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),321542.53433574515
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),321394.8345037122
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),296876.6623862415
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),317923.8884509377
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),322440.0948534839
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),322379.5000505986
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),321062.50988163805
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),320508.63551151444
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),320016.30273807124
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),321493.30105840083
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),321862.5506384832
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),320930.63503160863
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),321493.30105840083
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),322212.86434266396
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),320693.2603015556
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),321837.93399981107
Fri May 23 2025 13:26:00 GMT+0300 (GMT+03:00),322847.2161853696
Fri May 23 2025 13:27:00 GMT+0300 (GMT+03:00),323349.0168967636
Fri May 23 2025 13:28:00 GMT+0300 (GMT+03:00),323251.6323921265
Fri May 23 2025 13:33:00 GMT+0300 (GMT+03:00),46543.83445090257
Fri May 23 2025 13:34:00 GMT+0300 (GMT+03:00),99535.53411216558
Fri May 23 2025 13:35:00 GMT+0300 (GMT+03:00),162955.74091839968
Fri May 23 2025 13:36:00 GMT+0300 (GMT+03:00),234144.7374827476
Fri May 23 2025 13:37:00 GMT+0300 (GMT+03:00),288686.0353371412
Fri May 23 2025 13:38:00 GMT+0300 (GMT+03:00),321739.4674451224
Fri May 23 2025 13:39:00 GMT+0300 (GMT+03:00),321247.13467167923
Fri May 23 2025 13:40:00 GMT+0300 (GMT+03:00),320508.63551151444
Fri May 23 2025 13:41:00 GMT+0300 (GMT+03:00),319327.03685525083
Fri May 23 2025 13:42:00 GMT+0300 (GMT+03:00),321062.50988163805
Fri May 23 2025 13:43:00 GMT+0300 (GMT+03:00),321165.0792094387
Fri May 23 2025 13:44:00 GMT+0300 (GMT+03:00),322119.9064064194
Fri May 23 2025 13:45:00 GMT+0300 (GMT+03:00),321247.13467167923
Fri May 23 2025 13:46:00 GMT+0300 (GMT+03:00),319327.03685525083
Fri May 23 2025 13:47:00 GMT+0300 (GMT+03:00),322326.4795980739
Fri May 23 2025 13:48:00 GMT+0300 (GMT+03:00),321657.4119828819
Fri May 23 2025 13:49:00 GMT+0300 (GMT+03:00),319277.8035779065
Fri May 23 2025 13:50:00 GMT+0300 (GMT+03:00),321821.52290736296
Fri May 23 2025 13:51:00 GMT+0300 (GMT+03:00),320719.6352715615
Fri May 23 2025 13:52:00 GMT+0300 (GMT+03:00),321616.3842517616
Fri May 23 2025 13:53:00 GMT+0300 (GMT+03:00),321329.19013391976
Fri May 23 2025 13:54:00 GMT+0300 (GMT+03:00),321851.3612572686
Fri May 23 2025 13:55:00 GMT+0300 (GMT+03:00),322302.1334719146
Fri May 23 2025 13:56:00 GMT+0300 (GMT+03:00),321493.30105840083
Fri May 23 2025 13:57:00 GMT+0300 (GMT+03:00),318293.1380310201
Fri May 23 2025 13:58:00 GMT+0300 (GMT+03:00),321542.53433574515
Fri May 23 2025 13:59:00 GMT+0300 (GMT+03:00),317554.6388708553
Fri May 23 2025 14:00:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 14:01:00 GMT+0300 (GMT+03:00),320719.6352715615
Fri May 23 2025 14:02:00 GMT+0300 (GMT+03:00),317923.8884509377
Fri May 23 2025 14:03:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 14:04:00 GMT+0300 (GMT+03:00),322108.7170252048
Fri May 23 2025 14:05:00 GMT+0300 (GMT+03:00),320508.63551151444
Fri May 23 2025 14:06:00 GMT+0300 (GMT+03:00),320213.2358474485
Fri May 23 2025 14:07:00 GMT+0300 (GMT+03:00),322354.8834119264
Fri May 23 2025 14:08:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 14:13:00 GMT+0300 (GMT+03:00),46324.28806198322
Fri May 23 2025 14:14:00 GMT+0300 (GMT+03:00),94123.43651268614
Fri May 23 2025 14:15:00 GMT+0300 (GMT+03:00),152344.66941673646
Fri May 23 2025 14:16:00 GMT+0300 (GMT+03:00),215549.01152727444
Fri May 23 2025 14:17:00 GMT+0300 (GMT+03:00),283315.1323541246
Fri May 23 2025 14:18:00 GMT+0300 (GMT+03:00),323426.9804685794
Fri May 23 2025 14:19:00 GMT+0300 (GMT+03:00),323442.25976154837
Fri May 23 2025 14:20:00 GMT+0300 (GMT+03:00),322231.8002185656
Fri May 23 2025 14:21:00 GMT+0300 (GMT+03:00),322553.71010889387
Fri May 23 2025 14:22:00 GMT+0300 (GMT+03:00),322119.9064064194
Fri May 23 2025 14:23:00 GMT+0300 (GMT+03:00),323413.939899855
Fri May 23 2025 14:24:00 GMT+0300 (GMT+03:00),323450.37490470195
Fri May 23 2025 14:25:00 GMT+0300 (GMT+03:00),322918.4748762627
Fri May 23 2025 14:26:00 GMT+0300 (GMT+03:00),322631.8205969882
Fri May 23 2025 14:27:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 14:28:00 GMT+0300 (GMT+03:00),323334.81498983735
Fri May 23 2025 14:29:00 GMT+0300 (GMT+03:00),323457.8522223343
Fri May 23 2025 14:30:00 GMT+0300 (GMT+03:00),323226.3124209208
Fri May 23 2025 14:31:00 GMT+0300 (GMT+03:00),322854.4563732144
Fri May 23 2025 14:32:00 GMT+0300 (GMT+03:00),322797.98290802527
Fri May 23 2025 14:33:00 GMT+0300 (GMT+03:00),323167.23248810763
Fri May 23 2025 14:34:00 GMT+0300 (GMT+03:00),323454.4037492748
Fri May 23 2025 14:35:00 GMT+0300 (GMT+03:00),323216.46576545195
Fri May 23 2025 14:36:00 GMT+0300 (GMT+03:00),323285.392353734
Fri May 23 2025 14:37:00 GMT+0300 (GMT+03:00),323126.95071573503
Fri May 23 2025 14:38:00 GMT+0300 (GMT+03:00),323226.3124209208
Fri May 23 2025 14:39:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 14:40:00 GMT+0300 (GMT+03:00),323317.82839527854
Fri May 23 2025 14:41:00 GMT+0300 (GMT+03:00),323141.54556079756
Fri May 23 2025 14:42:00 GMT+0300 (GMT+03:00),323194.0870030227
Fri May 23 2025 14:43:00 GMT+0300 (GMT+03:00),323235.4016413536
Fri May 23 2025 14:44:00 GMT+0300 (GMT+03:00),323458.0020633951
Fri May 23 2025 14:45:00 GMT+0300 (GMT+03:00),323393.93455587915
Fri May 23 2025 14:46:00 GMT+0300 (GMT+03:00),323414.9870450662
Fri May 23 2025 14:47:00 GMT+0300 (GMT+03:00),323189.1139447051
Fri May 23 2025 14:48:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 14:53:00 GMT+0300 (GMT+03:00),46543.83445090257
Fri May 23 2025 14:54:00 GMT+0300 (GMT+03:00),99300.22552088389
Fri May 23 2025 14:55:00 GMT+0300 (GMT+03:00),159166.0725249485
Fri May 23 2025 14:56:00 GMT+0300 (GMT+03:00),224157.5211920143
Fri May 23 2025 14:57:00 GMT+0300 (GMT+03:00),283986.49522700167
Fri May 23 2025 14:58:00 GMT+0300 (GMT+03:00),323427.2125281849
Fri May 23 2025 14:59:00 GMT+0300 (GMT+03:00),320877.88509159687
Fri May 23 2025 15:00:00 GMT+0300 (GMT+03:00),315585.3077770826
Fri May 23 2025 15:01:00 GMT+0300 (GMT+03:00),317554.6388708553
Fri May 23 2025 15:02:00 GMT+0300 (GMT+03:00),322133.333663877
Fri May 23 2025 15:03:00 GMT+0300 (GMT+03:00),323425.98206978326
Fri May 23 2025 15:04:00 GMT+0300 (GMT+03:00),322948.893605972
Fri May 23 2025 15:05:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 15:06:00 GMT+0300 (GMT+03:00),321062.50988163805
Fri May 23 2025 15:07:00 GMT+0300 (GMT+03:00),321247.13467167923
Fri May 23 2025 15:08:00 GMT+0300 (GMT+03:00),323430.7216946356
Fri May 23 2025 15:09:00 GMT+0300 (GMT+03:00),323432.17857855855
Fri May 23 2025 15:10:00 GMT+0300 (GMT+03:00),322996.21162996424
Fri May 23 2025 15:11:00 GMT+0300 (GMT+03:00),322119.9064064194
Fri May 23 2025 15:12:00 GMT+0300 (GMT+03:00),322854.4563732144
Fri May 23 2025 15:13:00 GMT+0300 (GMT+03:00),323409.69314427645
Fri May 23 2025 15:14:00 GMT+0300 (GMT+03:00),323396.4978990245
Fri May 23 2025 15:15:00 GMT+0300 (GMT+03:00),322773.3662693531
Fri May 23 2025 15:16:00 GMT+0300 (GMT+03:00),321985.633831844
Fri May 23 2025 15:17:00 GMT+0300 (GMT+03:00),322119.9064064194
Fri May 23 2025 15:18:00 GMT+0300 (GMT+03:00),323368.55582603795
Fri May 23 2025 15:19:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 15:20:00 GMT+0300 (GMT+03:00),323019.53265607473
Fri May 23 2025 15:21:00 GMT+0300 (GMT+03:00),323205.7628790728
Fri May 23 2025 15:22:00 GMT+0300 (GMT+03:00),322899.96612538135
Fri May 23 2025 15:23:00 GMT+0300 (GMT+03:00),323221.4895692626
Fri May 23 2025 15:24:00 GMT+0300 (GMT+03:00),323445.9899175783
Fri May 23 2025 15:25:00 GMT+0300 (GMT+03:00),323093.3825720912
Fri May 23 2025 15:26:00 GMT+0300 (GMT+03:00),322945.6827400582
Fri May 23 2025 15:27:00 GMT+0300 (GMT+03:00),323093.3825720912
Fri May 23 2025 15:28:00 GMT+0300 (GMT+03:00),323298.5212276925
Fri May 23 2025 15:33:00 GMT+0300 (GMT+03:00),46324.28806198322
Fri May 23 2025 15:34:00 GMT+0300 (GMT+03:00),95064.67087781301
Fri May 23 2025 15:35:00 GMT+0300 (GMT+03:00),160302.97304298385
Fri May 23 2025 15:36:00 GMT+0300 (GMT+03:00),216221.55134483223
Fri May 23 2025 15:37:00 GMT+0300 (GMT+03:00),273916.0521338456
Fri May 23 2025 15:38:00 GMT+0300 (GMT+03:00),323410.80764970585
Fri May 23 2025 15:39:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 15:40:00 GMT+0300 (GMT+03:00),323326.5928331959
Fri May 23 2025 15:41:00 GMT+0300 (GMT+03:00),322576.43315997586
Fri May 23 2025 15:42:00 GMT+0300 (GMT+03:00),315585.3077770826
Fri May 23 2025 15:43:00 GMT+0300 (GMT+03:00),323382.79440512875
Fri May 23 2025 15:44:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 15:45:00 GMT+0300 (GMT+03:00),323436.8705535632
Fri May 23 2025 15:46:00 GMT+0300 (GMT+03:00),323261.2232903105
Fri May 23 2025 15:47:00 GMT+0300 (GMT+03:00),322354.8834119264
Fri May 23 2025 15:48:00 GMT+0300 (GMT+03:00),323366.56722077006
Fri May 23 2025 15:49:00 GMT+0300 (GMT+03:00),323462.63215217355
Fri May 23 2025 15:50:00 GMT+0300 (GMT+03:00),323445.5898638621
Fri May 23 2025 15:51:00 GMT+0300 (GMT+03:00),322840.73812256113
Fri May 23 2025 15:52:00 GMT+0300 (GMT+03:00),322674.8997146645
