TimeSeries ID,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".+60s.configuration_name:ollama-gemma.location:us-central1.project_id:llm-workload-characterization.revision_name:ollama-gemma-00001-qqg.service_name:ollama-gemma.kind:google,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".+60s.configuration_name:ollama-gemma.location:us-central1.project_id:llm-workload-characterization.revision_name:ollama-gemma-00001-qqg.service_name:ollama-gemma.kind:internet,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".+60s.configuration_name:ollama-gemma.location:us-central1.project_id:llm-workload-characterization.revision_name:ollama-gemma-00001-qqg.service_name:ollama-gemma.kind:private
kind,google,internet,private
revision_name,ollama-gemma-00001-qqg,ollama-gemma-00001-qqg,ollama-gemma-00001-qqg
configuration_name,ollama-gemma,ollama-gemma,ollama-gemma
service_name,ollama-gemma,ollama-gemma,ollama-gemma
project_id,llm-workload-characterization,llm-workload-characterization,llm-workload-characterization
location,us-central1,us-central1,us-central1
Fri May 23 2025 12:50:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 12:51:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 12:52:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),0,307.3666666666667,0
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),0,25001.733333333334,0
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),0,27459.766666666666,0
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),0,34116.53333333333,0
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),0,31604.75,0
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),0,32035.783333333333,0
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),0,30088.583333333332,0
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),0,31455.8,0
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),0,30150.7,0
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),0,31456,0
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),0,31739.9,0
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),0,31716.466666666667,0
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),0,32640.433333333334,0
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),0,29953.616666666665,0
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),0,32315.933333333334,0
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),0,30061.55,0
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),0,31129.366666666665,0
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),0,29871.416666666668,0
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),0,30639.466666666667,0
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),0,34818.45,0
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),0,30261.283333333333,0
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),0,28999.466666666667,0
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),0,33869.25,0
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),0,27167.6,0
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),0,33358.55,0
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),0,30718.466666666667,0
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),0,31548.533333333333,0
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),0,29137.65,0
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),0,32407.75,0
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),0,31439.383333333335,0
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),0,29412.1,0
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),0,32465.8,0
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),0,32716.133333333335,0
Fri May 23 2025 13:26:00 GMT+0300 (GMT+03:00),0,30755.116666666665,0
Fri May 23 2025 13:27:00 GMT+0300 (GMT+03:00),0,19888.416666666668,0
Fri May 23 2025 13:28:00 GMT+0300 (GMT+03:00),0,14003.616666666667,0
Fri May 23 2025 13:29:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 13:30:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 13:31:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 13:32:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 13:33:00 GMT+0300 (GMT+03:00),0,0,0
Fri May 23 2025 13:34:00 GMT+0300 (GMT+03:00),0,31494.35,0
Fri May 23 2025 13:35:00 GMT+0300 (GMT+03:00),0,29863.233333333334,0
Fri May 23 2025 13:36:00 GMT+0300 (GMT+03:00),0,31781.133333333335,0
Fri May 23 2025 13:37:00 GMT+0300 (GMT+03:00),0,33134.583333333336,0
Fri May 23 2025 13:38:00 GMT+0300 (GMT+03:00),0,31191.55,0
Fri May 23 2025 13:39:00 GMT+0300 (GMT+03:00),0,31961.25,0
Fri May 23 2025 13:40:00 GMT+0300 (GMT+03:00),0,29341.516666666666,0
Fri May 23 2025 13:41:00 GMT+0300 (GMT+03:00),0,31419.033333333333,0
Fri May 23 2025 13:42:00 GMT+0300 (GMT+03:00),0,31125.783333333333,0
Fri May 23 2025 13:43:00 GMT+0300 (GMT+03:00),0,33653.4,0
Fri May 23 2025 13:44:00 GMT+0300 (GMT+03:00),0,29057.6,0
Fri May 23 2025 13:45:00 GMT+0300 (GMT+03:00),0,31623.116666666665,0
Fri May 23 2025 13:46:00 GMT+0300 (GMT+03:00),0,29106.45,0
Fri May 23 2025 13:47:00 GMT+0300 (GMT+03:00),0,28497.466666666667,0
Fri May 23 2025 13:48:00 GMT+0300 (GMT+03:00),0,29921.016666666666,0
Fri May 23 2025 13:49:00 GMT+0300 (GMT+03:00),0,34096.13333333333,0
Fri May 23 2025 13:50:00 GMT+0300 (GMT+03:00),0,31709.166666666668,0
Fri May 23 2025 13:51:00 GMT+0300 (GMT+03:00),0,30433.7,0
Fri May 23 2025 13:52:00 GMT+0300 (GMT+03:00),0,30218.3,0
Fri May 23 2025 13:53:00 GMT+0300 (GMT+03:00),0,30097.3,0
Fri May 23 2025 13:54:00 GMT+0300 (GMT+03:00),0,33433.78333333333,0
Fri May 23 2025 13:55:00 GMT+0300 (GMT+03:00),0,32351.116666666665,0
Fri May 23 2025 13:56:00 GMT+0300 (GMT+03:00),0,29871.583333333332,0
Fri May 23 2025 13:57:00 GMT+0300 (GMT+03:00),0,30156.7,0
Fri May 23 2025 13:58:00 GMT+0300 (GMT+03:00),0,32728.366666666665,0
Fri May 23 2025 13:59:00 GMT+0300 (GMT+03:00),0,29064.283333333333,0
Fri May 23 2025 14:00:00 GMT+0300 (GMT+03:00),0,31756.316666666666,0
Fri May 23 2025 14:01:00 GMT+0300 (GMT+03:00),0,30749.466666666667,0
Fri May 23 2025 14:02:00 GMT+0300 (GMT+03:00),0,30999.233333333334,0
