TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization2" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization2.service_name:ollama-gemma
project_id,llm-workload-characterization2
service_name,ollama-gemma
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),47202.47361766063
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),96476.5224255033
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),158913.4279653851
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),210504.9628955909
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),215885.2814360533
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),206301.58903585467
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),233035.04678377722
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),231925.35608480684
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),235531.85085646054
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),237251.87143986463
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),226376.902589955
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),238953.39717828584
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),260488.79467630413
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),258779.87099988974
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),241690.63423574608
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),275258.7778795997
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),287074.7644422362
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),289069.6712644995
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),280629.68086261634
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),287611.8547405379
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),309677.3144957643
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),309184.9817223211
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),286000.5838456329
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),293049.89401084214
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),286000.5838456329
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),293289.6664654411
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),293161.78782298835
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),291737.6847593097
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),301307.6573472301
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),267435.45845185866
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),266781.97392913164
