TimeSeries ID,request_latencies.cloud_run_revision.ALIGN_DELTA.REDUCE_PERCENTILE_95.metric.type="run.googleapis.com/request_latencies" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".project_id:llm-workload-characterization3.service_name:ollama-llama
service_name,ollama-llama
project_id,llm-workload-characterization3
Sun May 25 2025 17:57:00 GMT+0300 (GMT+03:00),55255.43516322244
Sun May 25 2025 17:58:00 GMT+0300 (GMT+03:00),93182.20214755928
Sun May 25 2025 17:59:00 GMT+0300 (GMT+03:00),102320.01910899923
Sun May 25 2025 18:00:00 GMT+0300 (GMT+03:00),112278.80160002205
Sun May 25 2025 18:01:00 GMT+0300 (GMT+03:00),122793.43527445036
Sun May 25 2025 18:02:00 GMT+0300 (GMT+03:00),123797.73234204072
Sun May 25 2025 18:03:00 GMT+0300 (GMT+03:00),117078.26020940006
Sun May 25 2025 18:04:00 GMT+0300 (GMT+03:00),109230.24807297229
Sun May 25 2025 18:05:00 GMT+0300 (GMT+03:00),100369.81002670985
Sun May 25 2025 18:06:00 GMT+0300 (GMT+03:00),102006.2743206236
Sun May 25 2025 18:07:00 GMT+0300 (GMT+03:00),109023.17651264436
Sun May 25 2025 18:08:00 GMT+0300 (GMT+03:00),120248.18067875312
Sun May 25 2025 18:09:00 GMT+0300 (GMT+03:00),132481.79590329243
Sun May 25 2025 18:10:00 GMT+0300 (GMT+03:00),132794.9916382884
Sun May 25 2025 18:11:00 GMT+0300 (GMT+03:00),120849.26340248276
Sun May 25 2025 18:12:00 GMT+0300 (GMT+03:00),111744.6884483826
Sun May 25 2025 18:13:00 GMT+0300 (GMT+03:00),103359.29872049346
Sun May 25 2025 18:14:00 GMT+0300 (GMT+03:00),109294.95793557476
Sun May 25 2025 18:15:00 GMT+0300 (GMT+03:00),108490.70678608687
Sun May 25 2025 18:16:00 GMT+0300 (GMT+03:00),115597.69855305548
Sun May 25 2025 18:17:00 GMT+0300 (GMT+03:00),126687.67480586711
Sun May 25 2025 18:18:00 GMT+0300 (GMT+03:00),137110.13287601055
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),149088.9997514534
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),147682.22890842985
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),121373.5160036304
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),122260.22600660598
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),122431.06004387651
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),135300.5575182561
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),145557.71783937392
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),156437.51128166367
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),161060.9067216741
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),159924.00620363877
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),164092.64143643505
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),61268.00575229747
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),100712.0770685742
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),107936.05082092284
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),102123.92861626446
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),102223.00591785676
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),111300.96367625137
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),123617.40752492183
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),118017.84741438794
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),115455.33685533005
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),113423.44716961245
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),127000.87054086306
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),135676.39240025124
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),132638.39377079043
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),142215.91934696696
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),149832.8396220688
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),147264.6345951019
Sun May 25 2025 18:53:00 GMT+0300 (GMT+03:00),142629.33771716163
Sun May 25 2025 18:54:00 GMT+0300 (GMT+03:00),144007.3989511439
Sun May 25 2025 18:55:00 GMT+0300 (GMT+03:00),146970.2306042057
Sun May 25 2025 18:56:00 GMT+0300 (GMT+03:00),148767.97412308253
Sun May 25 2025 18:57:00 GMT+0300 (GMT+03:00),164121.79273176927
Sun May 25 2025 18:58:00 GMT+0300 (GMT+03:00),166125.28175655883
Sun May 25 2025 18:59:00 GMT+0300 (GMT+03:00),180020.90920706355
Sun May 25 2025 19:00:00 GMT+0300 (GMT+03:00),196259.34676004844
Sun May 25 2025 19:01:00 GMT+0300 (GMT+03:00),196565.04667712018
Sun May 25 2025 19:02:00 GMT+0300 (GMT+03:00),197241.95363635043
Sun May 25 2025 19:03:00 GMT+0300 (GMT+03:00),193851.95991310859
Sun May 25 2025 19:04:00 GMT+0300 (GMT+03:00),187317.62418570044
Sun May 25 2025 19:05:00 GMT+0300 (GMT+03:00),195138.44706411878
Sun May 25 2025 19:06:00 GMT+0300 (GMT+03:00),177417.1155078093
Sun May 25 2025 19:07:00 GMT+0300 (GMT+03:00),179023.93490663258
Sun May 25 2025 19:08:00 GMT+0300 (GMT+03:00),182678.85953498323
Sun May 25 2025 19:09:00 GMT+0300 (GMT+03:00),182457.957497006
Sun May 25 2025 19:17:00 GMT+0300 (GMT+03:00),52466.09829200209
Sun May 25 2025 19:18:00 GMT+0300 (GMT+03:00),104571.13796559432
Sun May 25 2025 19:19:00 GMT+0300 (GMT+03:00),158408.1388462583
Sun May 25 2025 19:20:00 GMT+0300 (GMT+03:00),215243.31161020268
Sun May 25 2025 19:21:00 GMT+0300 (GMT+03:00),266658.6749625794
Sun May 25 2025 19:22:00 GMT+0300 (GMT+03:00),322842.82035703526
Sun May 25 2025 19:23:00 GMT+0300 (GMT+03:00),323093.3825720912
Sun May 25 2025 19:24:00 GMT+0300 (GMT+03:00),320782.1537189829
Sun May 25 2025 19:25:00 GMT+0300 (GMT+03:00),320679.0583946294
Sun May 25 2025 19:26:00 GMT+0300 (GMT+03:00),321538.0585832593
Sun May 25 2025 19:27:00 GMT+0300 (GMT+03:00),322786.41605370946
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),323375.74989803653
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),322354.8834119264
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),321507.78143409034
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),321534.32878952107
Sun May 25 2025 19:32:00 GMT+0300 (GMT+03:00),321918.49754455633
Sun May 25 2025 19:33:00 GMT+0300 (GMT+03:00),323298.5212276925
Sun May 25 2025 19:34:00 GMT+0300 (GMT+03:00),322737.0891176257
