TimeSeries ID,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:google,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:internet,container/network/sent_bytes_count.cloud_run_revision.ALIGN_RATE.REDUCE_NONE.metric.type="run.googleapis.com/container/network/sent_bytes_count" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization3" AND resource.labels."service_name"="ollama-llama".+60s.configuration_name:ollama-llama.location:us-central1.project_id:llm-workload-characterization3.revision_name:ollama-llama-00001-k2j.service_name:ollama-llama.kind:private
kind,google,internet,private
revision_name,ollama-llama-00001-k2j,ollama-llama-00001-k2j,ollama-llama-00001-k2j
project_id,llm-workload-characterization3,llm-workload-characterization3,llm-workload-characterization3
configuration_name,ollama-llama,ollama-llama,ollama-llama
location,us-central1,us-central1,us-central1
service_name,ollama-llama,ollama-llama,ollama-llama
Sun May 25 2025 17:55:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:56:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 17:57:00 GMT+0300 (GMT+03:00),0,18612.316666666666,0
Sun May 25 2025 17:58:00 GMT+0300 (GMT+03:00),0,57795.48333333333,0
Sun May 25 2025 17:59:00 GMT+0300 (GMT+03:00),0,63764.666666666664,0
Sun May 25 2025 18:00:00 GMT+0300 (GMT+03:00),0,55583.11666666667,0
Sun May 25 2025 18:01:00 GMT+0300 (GMT+03:00),0,66002.56666666667,0
Sun May 25 2025 18:02:00 GMT+0300 (GMT+03:00),0,63556.11666666667,0
Sun May 25 2025 18:03:00 GMT+0300 (GMT+03:00),0,62345.48333333333,0
Sun May 25 2025 18:04:00 GMT+0300 (GMT+03:00),0,65329.433333333334,0
Sun May 25 2025 18:05:00 GMT+0300 (GMT+03:00),0,65022.183333333334,0
Sun May 25 2025 18:06:00 GMT+0300 (GMT+03:00),0,64003.46666666667,0
Sun May 25 2025 18:07:00 GMT+0300 (GMT+03:00),0,62794.28333333333,0
Sun May 25 2025 18:08:00 GMT+0300 (GMT+03:00),0,63634.683333333334,0
Sun May 25 2025 18:09:00 GMT+0300 (GMT+03:00),0,64108.45,0
Sun May 25 2025 18:10:00 GMT+0300 (GMT+03:00),0,62904.166666666664,0
Sun May 25 2025 18:11:00 GMT+0300 (GMT+03:00),0,63324.15,0
Sun May 25 2025 18:12:00 GMT+0300 (GMT+03:00),0,62062.48333333333,0
Sun May 25 2025 18:13:00 GMT+0300 (GMT+03:00),0,62911.61666666667,0
Sun May 25 2025 18:14:00 GMT+0300 (GMT+03:00),0,65227.13333333333,0
Sun May 25 2025 18:15:00 GMT+0300 (GMT+03:00),0,64829.583333333336,0
Sun May 25 2025 18:16:00 GMT+0300 (GMT+03:00),0,64146.333333333336,0
Sun May 25 2025 18:17:00 GMT+0300 (GMT+03:00),0,53490.5,0
Sun May 25 2025 18:18:00 GMT+0300 (GMT+03:00),0,63365.683333333334,0
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),0,64089.88333333333,0
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),0,64208.1,0
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),0,64528.05,0
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),0,61752.85,0
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),0,68112.58333333333,0
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),0,62356.63333333333,0
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),0,61744.63333333333,0
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),0,65980.46666666666,0
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),0,63290.61666666667,0
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),0,43562.65,0
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),0,17633.233333333334,0
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),0,1003.5166666666667,0
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),0,0,0
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),0,16972.9,0
