timestamp,latency_p99
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),39736.08196143639
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),101747.4348702137
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),163865.26133282794
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),240137.0672571876
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),290565.851381197
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),324453.0898493357
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),323876.19168186584
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),324201.13131233834
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),324407.9110771845
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),324217.54240478645
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),323926.8316242772
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),324137.83138432424
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),324053.4314803054
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),324164.2063543301
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),324260.2112451515
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),324348.8311443713
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),324230.67127874494
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),319327.0368552508
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),323536.48206819006
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),324348.8311443713
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),324439.7233486993
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),324427.6043881222
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),324164.2063543301
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),324053.4314803054
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),323954.96492561675
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),324250.36458968266
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),324324.2145056992
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),324137.83138432424
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),324250.36458968266
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),324394.2772465353
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),324348.8311443713
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),324090.3564383136
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),324319.2911779647
Fri May 23 2025 13:26:00 GMT+0300 (GMT+03:00),324521.14761507645
Fri May 23 2025 13:27:00 GMT+0300 (GMT+03:00),324621.5077573552
