timestamp,sent_bytes_internet
Fri May 23 2025 12:50:00 GMT+0300 (GMT+03:00),0.0
Fri May 23 2025 12:51:00 GMT+0300 (GMT+03:00),0.0
Fri May 23 2025 12:52:00 GMT+0300 (GMT+03:00),0.0
Fri May 23 2025 12:53:00 GMT+0300 (GMT+03:00),307.3666666666667
Fri May 23 2025 12:54:00 GMT+0300 (GMT+03:00),25001.733333333334
Fri May 23 2025 12:55:00 GMT+0300 (GMT+03:00),27459.766666666663
Fri May 23 2025 12:56:00 GMT+0300 (GMT+03:00),34116.53333333333
Fri May 23 2025 12:57:00 GMT+0300 (GMT+03:00),31604.75
Fri May 23 2025 12:58:00 GMT+0300 (GMT+03:00),32035.783333333333
Fri May 23 2025 12:59:00 GMT+0300 (GMT+03:00),30088.58333333333
Fri May 23 2025 13:00:00 GMT+0300 (GMT+03:00),31455.8
Fri May 23 2025 13:01:00 GMT+0300 (GMT+03:00),30150.7
Fri May 23 2025 13:02:00 GMT+0300 (GMT+03:00),31456.0
Fri May 23 2025 13:03:00 GMT+0300 (GMT+03:00),31739.9
Fri May 23 2025 13:04:00 GMT+0300 (GMT+03:00),31716.466666666667
Fri May 23 2025 13:05:00 GMT+0300 (GMT+03:00),32640.43333333333
Fri May 23 2025 13:06:00 GMT+0300 (GMT+03:00),29953.616666666665
Fri May 23 2025 13:07:00 GMT+0300 (GMT+03:00),32315.93333333333
Fri May 23 2025 13:08:00 GMT+0300 (GMT+03:00),30061.55
Fri May 23 2025 13:09:00 GMT+0300 (GMT+03:00),31129.366666666665
Fri May 23 2025 13:10:00 GMT+0300 (GMT+03:00),29871.416666666668
Fri May 23 2025 13:11:00 GMT+0300 (GMT+03:00),30639.466666666667
Fri May 23 2025 13:12:00 GMT+0300 (GMT+03:00),34818.45
Fri May 23 2025 13:13:00 GMT+0300 (GMT+03:00),30261.283333333333
Fri May 23 2025 13:14:00 GMT+0300 (GMT+03:00),28999.466666666667
Fri May 23 2025 13:15:00 GMT+0300 (GMT+03:00),33869.25
Fri May 23 2025 13:16:00 GMT+0300 (GMT+03:00),27167.6
Fri May 23 2025 13:17:00 GMT+0300 (GMT+03:00),33358.55
Fri May 23 2025 13:18:00 GMT+0300 (GMT+03:00),30718.466666666667
Fri May 23 2025 13:19:00 GMT+0300 (GMT+03:00),31548.533333333333
Fri May 23 2025 13:20:00 GMT+0300 (GMT+03:00),29137.65
Fri May 23 2025 13:21:00 GMT+0300 (GMT+03:00),32407.75
Fri May 23 2025 13:22:00 GMT+0300 (GMT+03:00),31439.38333333333
Fri May 23 2025 13:23:00 GMT+0300 (GMT+03:00),29412.1
Fri May 23 2025 13:24:00 GMT+0300 (GMT+03:00),32465.8
Fri May 23 2025 13:25:00 GMT+0300 (GMT+03:00),32716.13333333333
Fri May 23 2025 13:26:00 GMT+0300 (GMT+03:00),30755.116666666665
Fri May 23 2025 13:27:00 GMT+0300 (GMT+03:00),19888.416666666668
Fri May 23 2025 13:28:00 GMT+0300 (GMT+03:00),14003.616666666669
Fri May 23 2025 13:29:00 GMT+0300 (GMT+03:00),0.0
Fri May 23 2025 13:30:00 GMT+0300 (GMT+03:00),0.0
Fri May 23 2025 13:31:00 GMT+0300 (GMT+03:00),0.0
