timestamp,Max_concurrent_requests_p50
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),21.5
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),21.5
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),19.666666666666668
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),24.33333333333333
Sun May 25 2025 18:30:00 GMT+0300 (GMT+03:00),22.5
Sun May 25 2025 18:31:00 GMT+0300 (GMT+03:00),20.5
Sun May 25 2025 18:32:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 18:33:00 GMT+0300 (GMT+03:00),20.5
Sun May 25 2025 18:34:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:35:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 18:36:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),16.0
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),25.0
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),25.0
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),26.5
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),28.0
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),25.0
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),17.0
Sun May 25 2025 18:53:00 GMT+0300 (GMT+03:00),15.0
Sun May 25 2025 18:54:00 GMT+0300 (GMT+03:00),11.0
Sun May 25 2025 18:55:00 GMT+0300 (GMT+03:00),5.5
Sun May 25 2025 18:56:00 GMT+0300 (GMT+03:00),0.8333333333333334
Sun May 25 2025 18:57:00 GMT+0300 (GMT+03:00),0.625
Sun May 25 2025 18:58:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 18:59:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:00:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:01:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:02:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 19:03:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 19:04:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 19:05:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:06:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 19:07:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:08:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 19:09:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:10:00 GMT+0300 (GMT+03:00),21.5
Sun May 25 2025 19:11:00 GMT+0300 (GMT+03:00),24.5
Sun May 25 2025 19:12:00 GMT+0300 (GMT+03:00),22.5
Sun May 25 2025 19:13:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 19:14:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:15:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:16:00 GMT+0300 (GMT+03:00),21.5
Sun May 25 2025 19:17:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 19:18:00 GMT+0300 (GMT+03:00),15.5
Sun May 25 2025 19:19:00 GMT+0300 (GMT+03:00),15.0
Sun May 25 2025 19:20:00 GMT+0300 (GMT+03:00),17.0
Sun May 25 2025 19:21:00 GMT+0300 (GMT+03:00),15.0
Sun May 25 2025 19:22:00 GMT+0300 (GMT+03:00),13.5
Sun May 25 2025 19:23:00 GMT+0300 (GMT+03:00),15.0
Sun May 25 2025 19:24:00 GMT+0300 (GMT+03:00),17.0
Sun May 25 2025 19:25:00 GMT+0300 (GMT+03:00),15.0
Sun May 25 2025 19:26:00 GMT+0300 (GMT+03:00),19.5
Sun May 25 2025 19:27:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 19:28:00 GMT+0300 (GMT+03:00),17.5
Sun May 25 2025 19:29:00 GMT+0300 (GMT+03:00),19.0
Sun May 25 2025 19:30:00 GMT+0300 (GMT+03:00),23.0
Sun May 25 2025 19:31:00 GMT+0300 (GMT+03:00),21.0
Sun May 25 2025 19:32:00 GMT+0300 (GMT+03:00),18.0
Sun May 25 2025 19:33:00 GMT+0300 (GMT+03:00),16.0
Sun May 25 2025 19:34:00 GMT+0300 (GMT+03:00),11.0
Sun May 25 2025 19:35:00 GMT+0300 (GMT+03:00),4.5
Sun May 25 2025 19:36:00 GMT+0300 (GMT+03:00),0.8333333333333334
Sun May 25 2025 19:37:00 GMT+0300 (GMT+03:00),0.625
Sun May 25 2025 19:38:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:39:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:40:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:41:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 19:42:00 GMT+0300 (GMT+03:00),17.0
Sun May 25 2025 19:43:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 19:44:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 19:45:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 19:46:00 GMT+0300 (GMT+03:00),94.16666666666669
Sun May 25 2025 19:47:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 19:48:00 GMT+0300 (GMT+03:00),103.75
Sun May 25 2025 19:49:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 19:50:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 19:51:00 GMT+0300 (GMT+03:00),106.25
Sun May 25 2025 19:52:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 19:53:00 GMT+0300 (GMT+03:00),99.16666666666669
Sun May 25 2025 19:54:00 GMT+0300 (GMT+03:00),100.0
Sun May 25 2025 19:55:00 GMT+0300 (GMT+03:00),99.16666666666669
Sun May 25 2025 19:56:00 GMT+0300 (GMT+03:00),100.0
Sun May 25 2025 19:57:00 GMT+0300 (GMT+03:00),99.16666666666669
Sun May 25 2025 19:58:00 GMT+0300 (GMT+03:00),103.75
Sun May 25 2025 19:59:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:00:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:01:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:02:00 GMT+0300 (GMT+03:00),103.75
Sun May 25 2025 20:03:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:04:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:05:00 GMT+0300 (GMT+03:00),101.25
Sun May 25 2025 20:06:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:07:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:08:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:09:00 GMT+0300 (GMT+03:00),98.75
Sun May 25 2025 20:10:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:11:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:12:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:13:00 GMT+0300 (GMT+03:00),94.16666666666669
Sun May 25 2025 20:14:00 GMT+0300 (GMT+03:00),82.5
Sun May 25 2025 20:15:00 GMT+0300 (GMT+03:00),25.5
Sun May 25 2025 20:16:00 GMT+0300 (GMT+03:00),13.5
Sun May 25 2025 20:17:00 GMT+0300 (GMT+03:00),4.5
Sun May 25 2025 20:18:00 GMT+0300 (GMT+03:00),0.625
Sun May 25 2025 20:19:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:20:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:21:00 GMT+0300 (GMT+03:00),0.5
Sun May 25 2025 20:22:00 GMT+0300 (GMT+03:00),97.5
Sun May 25 2025 20:23:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:24:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:25:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:26:00 GMT+0300 (GMT+03:00),102.5
Sun May 25 2025 20:27:00 GMT+0300 (GMT+03:00),100.0
Sun May 25 2025 20:28:00 GMT+0300 (GMT+03:00),104.16666666666669
Sun May 25 2025 20:29:00 GMT+0300 (GMT+03:00),102.5
