timestamp,latency_p50
Sun May 25 2025 17:57:00 GMT+0300 (GMT+03:00),32989.69029592061
Sun May 25 2025 17:58:00 GMT+0300 (GMT+03:00),68466.26588758329
Sun May 25 2025 17:59:00 GMT+0300 (GMT+03:00),78112.08057698814
Sun May 25 2025 18:00:00 GMT+0300 (GMT+03:00),71600.28510074732
Sun May 25 2025 18:01:00 GMT+0300 (GMT+03:00),75767.49746110829
Sun May 25 2025 18:02:00 GMT+0300 (GMT+03:00),84270.29439841045
Sun May 25 2025 18:03:00 GMT+0300 (GMT+03:00),76502.21258800388
Sun May 25 2025 18:04:00 GMT+0300 (GMT+03:00),76373.63744079715
Sun May 25 2025 18:05:00 GMT+0300 (GMT+03:00),82291.47776881214
Sun May 25 2025 18:06:00 GMT+0300 (GMT+03:00),80616.61729861921
Sun May 25 2025 18:07:00 GMT+0300 (GMT+03:00),85804.4459118174
Sun May 25 2025 18:08:00 GMT+0300 (GMT+03:00),85011.1321513635
Sun May 25 2025 18:09:00 GMT+0300 (GMT+03:00),75430.7530279478
Sun May 25 2025 18:10:00 GMT+0300 (GMT+03:00),81677.36226307473
Sun May 25 2025 18:11:00 GMT+0300 (GMT+03:00),79084.43012773903
Sun May 25 2025 18:12:00 GMT+0300 (GMT+03:00),83798.85219198577
Sun May 25 2025 18:13:00 GMT+0300 (GMT+03:00),91206.38786043346
Sun May 25 2025 18:14:00 GMT+0300 (GMT+03:00),87919.84637889545
Sun May 25 2025 18:15:00 GMT+0300 (GMT+03:00),77552.24295685884
Sun May 25 2025 18:16:00 GMT+0300 (GMT+03:00),75859.33685197023
Sun May 25 2025 18:17:00 GMT+0300 (GMT+03:00),74252.14751188611
Sun May 25 2025 18:18:00 GMT+0300 (GMT+03:00),66859.07654749918
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),65665.16446629383
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),76272.614110849
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),69109.14162361695
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),72484.23923779358
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),55786.737424407285
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),52440.223181879446
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),54192.83064085279
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),50715.215840370256
Sun May 25 2025 18:27:00 GMT+0300 (GMT+03:00),68573.4118435889
Sun May 25 2025 18:28:00 GMT+0300 (GMT+03:00),110438.16550821842
Sun May 25 2025 18:29:00 GMT+0300 (GMT+03:00),141251.27648317942
Sun May 25 2025 18:37:00 GMT+0300 (GMT+03:00),28968.219784641027
Sun May 25 2025 18:38:00 GMT+0300 (GMT+03:00),71187.77317012573
Sun May 25 2025 18:39:00 GMT+0300 (GMT+03:00),83233.12154427616
Sun May 25 2025 18:40:00 GMT+0300 (GMT+03:00),77787.96406007117
Sun May 25 2025 18:41:00 GMT+0300 (GMT+03:00),82325.59529690866
Sun May 25 2025 18:42:00 GMT+0300 (GMT+03:00),81323.78060825623
Sun May 25 2025 18:43:00 GMT+0300 (GMT+03:00),81029.1292292408
Sun May 25 2025 18:44:00 GMT+0300 (GMT+03:00),83724.41394886609
Sun May 25 2025 18:45:00 GMT+0300 (GMT+03:00),82649.71181382562
Sun May 25 2025 18:46:00 GMT+0300 (GMT+03:00),84594.4109153274
Sun May 25 2025 18:47:00 GMT+0300 (GMT+03:00),76462.03285450177
Sun May 25 2025 18:48:00 GMT+0300 (GMT+03:00),59278.15228362189
Sun May 25 2025 18:49:00 GMT+0300 (GMT+03:00),69797.93705508157
Sun May 25 2025 18:50:00 GMT+0300 (GMT+03:00),86992.87314051294
Sun May 25 2025 18:51:00 GMT+0300 (GMT+03:00),86636.34497190427
Sun May 25 2025 18:52:00 GMT+0300 (GMT+03:00),91746.58205529508
Sun May 25 2025 18:53:00 GMT+0300 (GMT+03:00),95064.670877813
Sun May 25 2025 18:54:00 GMT+0300 (GMT+03:00),90700.766094043
Sun May 25 2025 18:55:00 GMT+0300 (GMT+03:00),99417.87981652471
Sun May 25 2025 18:56:00 GMT+0300 (GMT+03:00),62826.49238510631
Sun May 25 2025 18:57:00 GMT+0300 (GMT+03:00),56118.801337647805
Sun May 25 2025 18:58:00 GMT+0300 (GMT+03:00),52526.473548954906
Sun May 25 2025 18:59:00 GMT+0300 (GMT+03:00),65665.16446629383
