timestamp,sent_bytes_internet
Sun May 25 2025 17:55:00 GMT+0300 (GMT+03:00),0.0
Sun May 25 2025 17:56:00 GMT+0300 (GMT+03:00),0.0
Sun May 25 2025 17:57:00 GMT+0300 (GMT+03:00),18612.316666666666
Sun May 25 2025 17:58:00 GMT+0300 (GMT+03:00),57795.48333333333
Sun May 25 2025 17:59:00 GMT+0300 (GMT+03:00),63764.66666666666
Sun May 25 2025 18:00:00 GMT+0300 (GMT+03:00),55583.11666666667
Sun May 25 2025 18:01:00 GMT+0300 (GMT+03:00),66002.56666666667
Sun May 25 2025 18:02:00 GMT+0300 (GMT+03:00),63556.11666666667
Sun May 25 2025 18:03:00 GMT+0300 (GMT+03:00),62345.48333333333
Sun May 25 2025 18:04:00 GMT+0300 (GMT+03:00),65329.43333333333
Sun May 25 2025 18:05:00 GMT+0300 (GMT+03:00),65022.18333333333
Sun May 25 2025 18:06:00 GMT+0300 (GMT+03:00),64003.46666666667
Sun May 25 2025 18:07:00 GMT+0300 (GMT+03:00),62794.28333333333
Sun May 25 2025 18:08:00 GMT+0300 (GMT+03:00),63634.68333333333
Sun May 25 2025 18:09:00 GMT+0300 (GMT+03:00),64108.45
Sun May 25 2025 18:10:00 GMT+0300 (GMT+03:00),62904.16666666666
Sun May 25 2025 18:11:00 GMT+0300 (GMT+03:00),63324.15
Sun May 25 2025 18:12:00 GMT+0300 (GMT+03:00),62062.48333333333
Sun May 25 2025 18:13:00 GMT+0300 (GMT+03:00),62911.61666666667
Sun May 25 2025 18:14:00 GMT+0300 (GMT+03:00),65227.13333333333
Sun May 25 2025 18:15:00 GMT+0300 (GMT+03:00),64829.583333333336
Sun May 25 2025 18:16:00 GMT+0300 (GMT+03:00),64146.333333333336
Sun May 25 2025 18:17:00 GMT+0300 (GMT+03:00),53490.5
Sun May 25 2025 18:18:00 GMT+0300 (GMT+03:00),63365.68333333333
Sun May 25 2025 18:19:00 GMT+0300 (GMT+03:00),64089.88333333333
Sun May 25 2025 18:20:00 GMT+0300 (GMT+03:00),64208.1
Sun May 25 2025 18:21:00 GMT+0300 (GMT+03:00),64528.05
Sun May 25 2025 18:22:00 GMT+0300 (GMT+03:00),61752.85
Sun May 25 2025 18:23:00 GMT+0300 (GMT+03:00),68112.58333333333
Sun May 25 2025 18:24:00 GMT+0300 (GMT+03:00),62356.63333333333
Sun May 25 2025 18:25:00 GMT+0300 (GMT+03:00),61744.63333333333
Sun May 25 2025 18:26:00 GMT+0300 (GMT+03:00),65980.46666666666
