Model,GPU,Users,Ramp,latency_p99,latency_p95,latency_p50,sent_bytes_internet,recv_bytes,request_count_2xx,sent_bytes_google,sent_bytes_private,Max_concurrent_requests_p99,Max_concurrent_requests_p95,Max_concurrent_requests_p50,GPU_utilization_p99,GPU_utilization_p95,GPU_utilization_p50,GPU_memory_utilization_p99,GPU_memory_utilization_p95,GPU_memory_utilization_p50,Container_CPU_utilization_p99,Container_CPU_utilization_p95,Container_CPU_utilization_p50,Container_memory_utilization_p99,Container_memory_utilization_p95,Container_memory_utilization_p50,tokens_per_second,total_content_size,request_count,failure_count,average_response_time
deepseek,3,100,10,115063.759,109281.740,83995.376,1489718.133,0.000,1.181,0.000,0.000,47.190,46.919,38.492,0.894,0.893,0.847,0.380,0.380,0.375,0.156,0.156,0.149,0.020,0.019,0.015,428.181,0.000,2164,1,64158.760
deepseek,3,100,100,116349.425,109983.359,74694.334,1535267.417,0.000,1.194,0.000,0.000,49.905,49.523,34.438,0.894,0.893,0.878,0.380,0.380,0.375,0.157,0.157,0.151,0.020,0.019,0.015,432.282,0.000,2217,0,62929.449
deepseek,3,500,10,300783.289,297499.712,273343.839,1731102.383,0.000,1.589,0.000,0.000,175.540,174.959,154.986,0.887,0.886,0.850,0.380,0.380,0.375,0.158,0.157,0.150,0.020,0.019,0.015,431.131,133.636,2890,21,266688.413
deepseek,3,500,100,302789.890,297990.984,272799.440,1722154.917,0.000,1.547,0.000,0.000,173.737,173.257,164.143,0.886,0.885,0.874,0.380,0.380,0.375,0.158,0.158,0.152,0.020,0.019,0.015,438.629,1684.200,2903,136,268467.113
deepseek,3,1000,10,307474.272,304550.771,283596.010,1671845.550,0.000,3.090,0.000,0.000,371.509,370.879,322.235,0.885,0.884,0.871,0.380,0.379,0.375,0.163,0.162,0.156,0.020,0.019,0.015,424.873,1076.459,5457,121,279841.410
deepseek,3,1000,100,302479.543,298577.473,274498.349,1714155.433,0.000,2.509,0.000,0.000,337.572,337.004,302.557,0.885,0.884,0.848,0.380,0.380,0.375,0.159,0.159,0.152,0.020,0.019,0.015,438.383,8191.822,5403,1050,283725.900
deepseek,3,1500,10,299736.941,296760.584,277026.215,1696329.300,0.000,4.434,0.000,0.000,494.878,493.801,468.654,0.883,0.882,0.869,0.380,0.380,0.375,0.161,0.160,0.154,0.020,0.019,0.015,415.472,907.424,7895,236,288082.150
deepseek,3,1500,100,301797.227,297882.568,274875.511,1705699.050,0.000,3.146,0.000,0.000,499.176,498.168,471.821,0.885,0.885,0.872,0.380,0.380,0.375,0.161,0.160,0.154,0.020,0.019,0.015,438.273,13831.692,7919,2568,288828.981
deepseek,3,2000,10,299918.285,297127.563,279043.326,1740791.017,0.000,5.727,0.000,0.000,642.607,641.607,605.164,0.881,0.881,0.844,0.380,0.380,0.375,0.162,0.162,0.153,0.020,0.019,0.015,410.173,1690.821,10354,271,291856.486
deepseek,3,2000,100,302086.264,298368.505,274898.921,1693393.400,0.000,3.880,0.000,0.000,648.871,647.786,616.929,0.889,0.888,0.850,0.380,0.380,0.375,0.163,0.162,0.154,0.020,0.019,0.015,434.134,15491.345,10400,3780,291894.632
deepseek,5,100,10,79363.784,73243.978,39644.767,2482732.217,0.000,1.989,0.000,0.000,34.978,34.503,16.989,0.898,0.897,0.851,0.380,0.379,0.362,0.160,0.159,0.153,0.020,0.019,0.015,714.362,0.000,3663,0,31574.322
deepseek,5,100,100,76960.277,70982.054,41831.136,2471007.500,0.000,1.964,0.000,0.000,32.340,31.894,16.559,0.899,0.897,0.849,0.380,0.380,0.375,0.158,0.158,0.151,0.020,0.019,0.015,711.163,0.000,3617,0,32200.007
deepseek,5,500,10,286591.127,276653.871,220416.442,2800003.217,0.000,2.003,0.000,0.000,123.782,122.683,86.143,0.892,0.891,0.850,0.380,0.380,0.375,0.159,0.158,0.149,0.020,0.019,0.015,709.506,0.000,3747,0,205025.690
deepseek,5,500,100,278587.174,269507.213,217380.112,2829295.600,0.000,1.994,0.000,0.000,117.109,116.061,90.595,0.892,0.890,0.849,0.380,0.380,0.375,0.159,0.159,0.153,0.020,0.019,0.015,727.180,0.000,3732,5,209632.341
deepseek,5,1000,10,298135.347,294842.931,271851.519,2880648.450,0.000,3.109,0.000,0.000,208.880,207.829,177.417,0.889,0.888,0.871,0.380,0.380,0.375,0.160,0.159,0.152,0.020,0.019,0.015,705.654,3122.718,5624,14,271143.019
deepseek,5,1000,100,302153.999,298244.896,274451.235,2867281.567,0.000,3.108,0.000,0.000,210.598,209.560,182.438,0.887,0.886,0.846,0.380,0.380,0.375,0.161,0.160,0.151,0.020,0.019,0.015,742.598,297.758,5766,145,268896.599
deepseek,5,1500,10,297846.943,295049.225,274155.254,2895885.167,0.000,4.515,0.000,0.000,296.217,295.140,270.129,0.890,0.889,0.847,0.380,0.380,0.375,0.160,0.159,0.152,0.020,0.019,0.015,695.222,79.683,8095,15,281244.044
deepseek,5,1500,100,301759.679,298223.963,275635.596,2860016.950,0.000,4.494,0.000,0.000,310.732,309.661,269.448,0.890,0.889,0.846,0.380,0.380,0.375,0.162,0.161,0.152,0.020,0.019,0.015,739.899,688.017,8380,349,275220.677
deepseek,5,2000,10,296897.288,294613.760,275237.867,2892126.383,0.000,5.920,0.000,0.000,397.012,395.918,360.926,0.889,0.887,0.843,0.380,0.380,0.375,0.161,0.161,0.153,0.020,0.019,0.015,681.556,97.305,10601,24,285579.331
deepseek,5,2000,100,301312.921,297873.106,275257.337,2840944.750,0.000,5.651,0.000,0.000,393.029,392.004,358.329,0.889,0.887,0.847,0.380,0.380,0.375,0.158,0.157,0.152,0.020,0.019,0.015,728.418,2448.022,10775,722,283721.974
gemma,3,100,10,308893.408,304095.876,270952.865,1022513.333,0.000,0.355,0.000,0.000,43.847,43.600,35.682,0.792,0.790,0.767,0.190,0.190,0.185,0.196,0.195,0.188,0.040,0.040,0.035,294.938,22566.498,644,10,237289.898
gemma,3,100,100,302196.590,298834.161,266002.825,1053593.300,0.000,0.335,0.000,0.000,39.887,39.664,33.614,0.790,0.789,0.769,0.190,0.189,0.185,0.192,0.191,0.183,0.040,0.040,0.035,274.943,28035.535,624,17,244182.367
gemma,3,500,10,301166.306,298870.530,280072.956,1004174.567,0.000,1.405,0.000,0.000,175.214,174.660,160.831,0.786,0.785,0.764,0.190,0.190,0.185,0.199,0.198,0.188,0.040,0.040,0.035,286.871,31957.925,2628,233,287689.006
gemma,3,500,100,301682.550,298840.713,276389.910,1009006.017,0.000,1.120,0.000,0.000,173.219,172.682,160.544,0.794,0.793,0.745,0.190,0.190,0.185,0.199,0.198,0.186,0.040,0.040,0.035,295.311,26513.760,2622,767,288759.259
gemma,3,1000,10,301142.022,298749.110,280603.417,987080.000,0.000,2.610,0.000,0.000,335.890,335.335,315.574,0.787,0.786,0.736,0.190,0.190,0.185,0.201,0.201,0.192,0.040,0.040,0.035,178.122,11758.839,5286,894,285548.726
